BehaviorSpace results (NetLogo 6.2.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last MIS.nlogo;;;;;;Ticks:;1;2,2;4;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment;;;;;;Messages:;36,6;153,4;723,6;1862,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/17/2021 19:30:06:858 +0200;;;;;;Bits:;36,6;153,4;723,6;1862,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10;10;11;11;11;12;12;12;13;13;13;14;14;14;15;15;15;16;16;16;17;17;17;18;18;18;19;19;19;20;20;20
num-nodes;10;;;10;;;10;;;10;;;10;;;20;;;20;;;20;;;20;;;20;;;50;;;50;;;50;;;50;;;50;;;100;;;100;;;100;;;100;;;100;;
[reporter];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
[final];1;45;45;1;36;36;1;35;35;1;18;18;1;49;49;3;158;158;2;158;158;2;222;222;1;82;82;3;147;147;4;599;599;2;583;583;7;908;908;3;632;632;4;896;896;4;1699;1699;4;2157;2157;5;1870;1870;4;1531;1531;4;2057;2057
[min];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[max];1;45;45;1;36;36;1;35;35;1;18;18;1;49;49;3;158;158;2;158;158;2;222;222;1;82;82;3;147;147;4;599;599;2;583;583;7;908;908;3;632;632;4;896;896;4;1699;1699;4;2157;2157;5;1870;1870;4;1531;1531;4;2057;2057
[mean];0.5;22.5;22.5;0.5;18;18;0.5;17.5;17.5;0.5;9;9;0.5;24.5;24.5;1.5;111.5;111.5;1;95;95;1;13.766.666.666.666.600;13.766.666.666.666.600;0.5;41;41;1.5;92.5;92.5;2;450;450;1;363;363;3.5;733.625;733.625;1.5;455;455;2;646;646;2;1251.8;1251.8;2;1469.2;1469.2;2.5;14.783.333.333.333.300;14.783.333.333.333.300;2;1160.6;1160.6;2;1424;1424
[steps];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;2;2;2;2;2;2;1;1;1;3;3;3;4;4;4;2;2;2;7;7;7;3;3;3;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[all run data];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;45;45;1;36;36;1;35;35;1;18;18;1;49;49;1;144;144;1;127;127;1;191;191;1;82;82;1;89;89;1;493;493;1;506;506;1;609;609;1;573;573;1;630;630;1;1260;1260;1;1278;1278;1;1500;1500;1;1336;1336;1;1269;1269
;;;;;;;;;;;;;;;;2;144;144;2;158;158;2;222;222;;;;2;134;134;2;579;579;2;583;583;2;807;807;2;615;615;2;844;844;2;1628;1628;2;1831;1831;2;1812;1812;2;1457;1457;2;1780;1780
;;;;;;;;;;;;;;;;3;158;158;;;;;;;;;;3;147;147;3;579;579;;;;3;869;869;3;632;632;3;860;860;3;1672;1672;3;2080;2080;3;1844;1844;3;1479;1479;3;2014;2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;599;599;;;;4;892;892;;;;4;896;896;4;1699;1699;4;2157;2157;4;1844;1844;4;1531;1531;4;2057;2057
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;892;892;;;;;;;;;;;;;5;1870;1870;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;892;892;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;908;908;;;;;;;;;;;;;;;;;;;;;
