BehaviorSpace results (NetLogo 6.2.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last MIS.nlogo;;;;;Ticks:;2,8;3,6;4,4;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment(edges: 3);;;;;Messages:;28;66,2;225,6;393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/17/2021 19:15:25:453 +0200;;;;;Bits:;28;66,2;225,6;393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10;10;11;11;11;12;12;12;13;13;13;14;14;14;15;15;15;16;16;16;17;17;17;18;18;18;19;19;19;20;20;20
num-nodes;10;;;10;;;10;;;10;;;10;;;20;;;20;;;20;;;20;;;20;;;50;;;50;;;50;;;50;;;50;;;100;;;100;;;100;;;100;;;100;;
[reporter];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
[final];2;21;21;2;24;24;4;38;38;1;9;9;5;48;48;3;63;63;5;76;76;2;89;89;5;56;56;3;47;47;3;189;189;4;257;257;7;256;256;4;184;184;4;242;242;3;356;356;5;429;429;4;400;400;5;428;428;4;352;352
[min];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[max];2;21;21;2;24;24;4;38;38;1;9;9;5;48;48;3;63;63;5;76;76;2;89;89;5;56;56;3;47;47;3;189;189;4;257;257;7;256;256;4;184;184;4;242;242;3;356;356;5;429;429;4;400;400;5;428;428;4;352;352
[mean];1;13;13;1;15.333.333.333.333.300;15.333.333.333.333.300;2;28.8;28.8;0.5;4.5;4.5;2.5;30.333.333.333.333.300;30.333.333.333.333.300;1.5;43;43;2.5;56.5;56.5;1;52.666.666.666.666.600;52.666.666.666.666.600;2.5;42.333.333.333.333.300;42.333.333.333.333.300;1.5;29.25;29.25;1.5;127.25;127.25;2;174;174;3.5;206.75;206.75;2;132.8;132.8;2;178.4;178.4;1.5;244.25;244.25;2.5;3.216.666.666.666.660;3.216.666.666.666.660;2;290.6;290.6;2.5;326.5;326.5;2;268.6;268.6
[steps];2;2;2;2;2;2;4;4;4;1;1;1;5;5;5;3;3;3;5;5;5;2;2;2;5;5;5;3;3;3;3;3;3;4;4;4;7;7;7;4;4;4;4;4;4;3;3;3;5;5;5;4;4;4;5;5;5;4;4;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[all run data];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;18;18;1;22;22;1;32;32;1;9;9;1;19;19;1;47;47;1;47;47;1;69;69;1;47;47;1;29;29;1;136;136;1;132;132;1;175;175;1;131;131;1;186;186;1;276;276;1;318;318;1;284;284;1;283;283;1;304;304
;2;21;21;2;24;24;2;37;37;;;;2;37;37;2;62;62;2;72;72;2;89;89;2;47;47;2;41;41;2;184;184;2;230;230;2;229;229;2;171;171;2;232;232;2;345;345;2;354;354;2;372;372;2;410;410;2;339;339
;;;;;;;3;37;37;;;;3;37;37;3;63;63;3;72;72;;;;3;52;52;3;47;47;3;189;189;3;251;251;3;246;246;3;178;178;3;232;232;3;356;356;3;411;411;3;397;397;3;419;419;3;348;348
;;;;;;;4;38;38;;;;4;41;41;;;;4;72;72;;;;4;52;52;;;;;;;4;257;257;4;246;246;4;184;184;4;242;242;;;;4;418;418;4;400;400;4;419;419;4;352;352
;;;;;;;;;;;;;5;48;48;;;;5;76;76;;;;5;56;56;;;;;;;;;;5;251;251;;;;;;;;;;5;429;429;;;;5;428;428;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;251;251;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;256;256;;;;;;;;;;;;;;;;;;;;;
