BehaviorSpace results (NetLogo 6.2.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last MIS.nlogo;;;;;Ticks:;2;2,6;4,2;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment;;;;;Messages:;45,2;142,6;379,4;982,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/17/2021 19:25:36:806 +0200;;;;;Bits:;45,2;142,6;379,4;982,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10;10;11;11;11;12;12;12;13;13;13;14;14;14;15;15;15;16;16;16;17;17;17;18;18;18;19;19;19;20;20;20
num-nodes;10;;;10;;;10;;;10;;;10;;;20;;;20;;;20;;;20;;;20;;;50;;;50;;;50;;;50;;;50;;;100;;;100;;;100;;;100;;;100;;
[reporter];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
[final];1;49;49;2;45;45;2;44;44;2;39;39;3;49;49;4;85;85;2;110;110;2;193;193;2;164;164;3;161;161;7;407;407;4;430;430;4;368;368;3;255;255;3;437;437;6;912;912;8;1090;1090;5;867;867;6;1067;1067;4;976;976
[min];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[max];1;49;49;2;45;45;2;44;44;2;39;39;3;49;49;4;85;85;2;110;110;2;193;193;2;164;164;3;161;161;7;407;407;4;430;430;4;368;368;3;255;255;3;437;437;6;912;912;8;1090;1090;5;867;867;6;1067;1067;4;976;976
[mean];0.5;24.5;24.5;1;27.666.666.666.666.600;27.666.666.666.666.600;1;27.333.333.333.333.300;27.333.333.333.333.300;1;24.333.333.333.333.300;24.333.333.333.333.300;1.5;32.5;32.5;2;60.8;60.8;1;56.666.666.666.666.600;56.666.666.666.666.600;1;113;113;1;9.766.666.666.666.660;9.766.666.666.666.660;1.5;98.5;98.5;3.5;320.5;320.5;2;310;310;2;269.2;269.2;1.5;170.5;170.5;1.5;286.25;286.25;3;679;679;4;9.136.666.666.666.660;9.136.666.666.666.660;2.5;6.723.333.333.333.330;6.723.333.333.333.330;3;8.388.571.428.571.420;8.388.571.428.571.420;2;731.2;731.2
[steps];1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;4;4;4;2;2;2;2;2;2;2;2;2;3;3;3;7;7;7;4;4;4;4;4;4;3;3;3;3;3;3;6;6;6;8;8;8;5;5;5;6;6;6;4;4;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[all run data];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;49;49;1;38;38;1;38;38;1;34;34;1;38;38;1;73;73;1;60;60;1;146;146;1;129;129;1;92;92;1;270;270;1;292;292;1;293;293;1;197;197;1;308;308;1;499;499;1;742;742;1;666;666;1;715;715;1;794;794
;;;;2;45;45;2;44;44;2;39;39;2;43;43;2;73;73;2;110;110;2;193;193;2;164;164;2;141;141;2;353;353;2;410;410;2;328;328;2;230;230;2;400;400;2;770;770;2;1019;1019;2;814;814;2;992;992;2;920;920
;;;;;;;;;;;;;3;49;49;3;73;73;;;;;;;;;;3;161;161;3;373;373;3;418;418;3;357;357;3;255;255;3;437;437;3;830;830;3;1058;1058;3;833;833;3;1007;1007;3;966;966
;;;;;;;;;;;;;;;;4;85;85;;;;;;;;;;;;;4;373;373;4;430;430;4;368;368;;;;;;;4;871;871;4;1058;1058;4;854;854;4;1038;1038;4;976;976
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;394;394;;;;;;;;;;;;;5;871;871;5;1082;1082;5;867;867;5;1053;1053;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;394;394;;;;;;;;;;;;;6;912;912;6;1087;1087;;;;6;1067;1067;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;407;407;;;;;;;;;;;;;;;;7;1087;1087;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1090;1090;;;;;;;;;
