BehaviorSpace results (NetLogo 6.2.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LubysMIS.nlogo;;;;;Ticks:;12,8;34,2;40,8;73,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment;;;;;Messages:;58,6;371,8;1174,6;4359,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/17/2021 18:47:55:010 +0200;;;;;Bits:;58,6;371,8;1174,6;4359,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10;10;11;11;11;12;12;12;13;13;13;14;14;14;15;15;15;16;16;16;17;17;17;18;18;18;19;19;19;20;20;20
num-nodes;10;;;10;;;10;;;10;;;10;;;20;;;20;;;20;;;20;;;20;;;50;;;50;;;50;;;50;;;50;;;100;;;100;;;100;;;100;;;100;;
[reporter];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
[final];39;225;225;7;9;9;2;9;9;13;41;41;3;9;9;32;298;298;26;365;365;2;30;30;19;164;164;92;1002;1002;74;1876;1876;22;699;699;28;974;974;28;701;701;52;1623;1623;44;2475;2475;49;2850;2850;78;4055;4055;104;6962;6962;91;5454;5454
[min];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[max];39;225;225;7;9;9;2;9;9;13;41;41;3;9;9;32;298;298;26;365;365;2;30;30;19;164;164;92;1002;1002;74;1876;1876;22;699;699;28;974;974;28;701;701;52;1623;1623;44;2475;2475;49;2850;2850;78;4055;4055;104;6962;6962;91;5454;5454
[mean];19.5;112.8;112.8;3.5;1.125;1.125;1;3;3;6.5;26.428.571.428.571.400;26.428.571.428.571.400;1.5;2.25;2.25;16;14.972.727.272.727.200;14.972.727.272.727.200;13;17.607.407.407.407.400;17.607.407.407.407.400;1;15.333.333.333.333.300;15.333.333.333.333.300;9.5;59.9;59.9;46;49.936.559.139.784.900;49.936.559.139.784.900;37;9.372.266.666.666.660;9.372.266.666.666.660;11;38.195.652.173.913.000;38.195.652.173.913.000;14;5.549.310.344.827.580;5.549.310.344.827.580;14;31.417.241.379.310.300;31.417.241.379.310.300;26;7.960.377.358.490.560;7.960.377.358.490.560;22;13.091.555.555.555.500;13.091.555.555.555.500;24.5;1495.84;1495.84;39;20.128.987.341.772.100;20.128.987.341.772.100;52;35.220.666.666.666.600;35.220.666.666.666.600;45.5;2.535.391.304.347.820;2.535.391.304.347.820
[steps];39;39;39;7;7;7;2;2;2;13;13;13;3;3;3;32;32;32;26;26;26;2;2;2;19;19;19;92;92;92;74;74;74;22;22;22;28;28;28;28;28;28;52;52;52;44;44;44;49;49;49;78;78;78;104;104;104;91;91;91
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[all run data];ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits;ticks;msgs;bits
